Time Code,Analysis,Identifier 1,Wt of sample,Peak 28  (V),d15N ,Wt  %N,GG Hatch atm %,Trail Id,Code,Sample,Mass,Site,Label,N,W,Zone,W-,LAT,LON
6/11/19 20:35,1684,F11,0.5,1072,2.7,2.5,0.3673,F11,Aero1,croton,0.5,AEROPUERTO,leaves,18¡ 04.143',67¡ 54.825',Interior,-67¡ 54.825',18.069052,-67.913753
6/11/19 20:26,1683,F10,0.52,1124,3.2,2.5,0.3675,F10,Aero2,croton,0.52,AEROPUERTO,leaves,18¡ 04.134',67¡ 54.820',Interior,-67¡ 54.820',18.068907,-67.91367
,,,,,4.2,,,,Aero3,Croton,,AEROPUERTO,leaves,18¡ 04.142',67¡ 54.816',,-67¡ 54.816',18.069026,-67.913597
6/11/19 15:13,1668,F9,0.59,1205,6.6,2.2,0.3687,F9,Aero4,croton,0.59,AEROPUERTO,leaves,18¡ 04.129',67¡ 54.723',Interior,-67¡ 54.723',18.06882,-67.912054
,,,,,5.8,,,,Aero5,Croton,,AEROPUERTO,leaves,18¡ 04.223',67¡ 54.870',,-67¡ 54.870',18.07039,-67.914494
,,,,,3.4,,,,ANTE1,croton,,ANTENA,leaves,18¡ 05.274',67¡ 56.251',,-67¡ 56.251',18.087903,-67.937514
,,,,,3.9,,,,ANTE3,croton,,ANTENA,leaves,18¡ 05.268',67¡ 56.254',,-67¡ 56.254',18.087801,-67.937568
,,,,,8.8,,,,ANTE4,croton,,ANTENA,leaves,18¡ 05.168',67¡ 56.199',,-67¡ 56.199',18.086135,-67.936642
6/11/19 14:06,1660,F1,0.49,907,4.5,2,0.3679,F1,Antena2,croton,0.49,ANTENA,leaves,18¡ 05.268',67¡ 56.246',Interior,-67¡ 56.246',18.087798,-67.937439
6/11/19 14:14,1661,F2,0.59,1255,4.9,2.3,0.3681,F2,Antena5,croton,0.59,ANTENA,leaves,18¡ 05.369',67¡ 56.196',Interior,-67¡ 56.196',18.08949,-67.936608
6/10/19 19:12,1600,B8,0.5,1160,8.1,2.5,0.3693,B8,Bajura2,Croton,0.5,BAJURA20,leaves,18¡ 05.416',67¡ 52.163',Interior,-67¡ 52.163',18.090265,-67.86939
6/10/19 19:54,1605,C1,0.55,1261,5.5,2.4,0.3683,C1,Bajura4,Croton,0.55,BAJURA20,leaves,18¡ 05.520',67¡ 52.220',Interior,-67¡ 52.220',18.092007,-67.87033
6/10/19 20:19,1608,C4,0.53,1009,7,2,0.3689,C4,Bajura5,Croton,0.53,BAJURA20,leaves,18¡ 05.321',67¡ 52.122',Interior,-67¡ 52.122',18.088675,-67.868708
,,,,,3.3,,,,CBLA1,croton,,C.BLANCO,leaves,18¡ 5.447',67¡ 52.995',,-67¡ 52.995',18.090779,-67.883257
,,,,,4.9,,,,CBLA2,croton,,C.BLANCO,leaves,18¡ 5.457',67¡ 53.000',,-67¡ 53.000',18.090953,-67.883336
,,,,,5.3,,,,CBLA3,croton,,C.BLANCO,leaves,18¡ 5.456',67¡ 52.989',,-67¡ 52.989',18.090942,-67.883143
,,,,,6.7,,,,CBLA4,croton,,C.BLANCO,leaves,18¡ 5.399',67¡ 52.890',,-67¡ 52.890',18.089978,-67.881498
,,,,,2.5,,,,CBLA5,croton,,C.BLANCO,leaves,18¡ 5.506',67¡ 52.884',,-67¡ 52.884',18.091773,-67.881397
6/13/19 4:07,1809,C3,0.5,453,7,0.9,0.3688,C3,CUES1,CROTON,0.5,C.ESPINAR,leaves,18¡ 06.911',67¡ 55.377',Coast,-67¡ 55.377',18.115176,-67.92294698
