Sample.Label,Area,Effort,distance,size,Region.Label,month,Time
PC01,140000,4,2,1,Default,nov,night
PC01,140000,4,2.7,1,Default,nov,night
PC01,140000,4,2.2,1,Default,nov,night
PC01,140000,4,17.13,1,Default,nov,night
PC01,140000,4,14.8,1,Default,nov,night
PC03,140000,4,17.2,1,Default,nov,night
PC03,140000,4,18.8,1,Default,nov,night
PC03,140000,4,15.9,1,Default,nov,night
PC03,140000,4,12.2,1,Default,nov,night
PC03,140000,4,21,1,Default,nov,night
PC03,140000,4,10,1,Default,nov,night
PC05,140000,4,3.5,1,Default,nov,night
PC05,140000,4,2.3,1,Default,nov,night
PC05,140000,4,3.4,1,Default,nov,night
PC05,140000,4,5.4,1,Default,nov,night
PC05,140000,4,8.2,1,Default,nov,night
PC06,140000,4,11.6,18,Default,nov,night
PC06,140000,4,14.6,5,Default,nov,night
PC06,140000,4,9,14,Default,nov,night
PC06,140000,4,9.9,5,Default,nov,night
PC06,140000,4,15.5,1,Default,nov,night
PC06,140000,4,3.4,1,Default,nov,night
PC06,140000,4,8.3,1,Default,nov,night
PC06,140000,4,3.8,2,Default,nov,night
PC06,140000,4,10,1,Default,nov,night
PC08,140000,4,6.7,1,Default,nov,night
PC08,140000,4,6.1,1,Default,nov,night
PC08,140000,4,7.2,1,Default,nov,night
PC08,140000,4,6.8,1,Default,nov,night
PC08,140000,4,23.2,4,Default,nov,night
PC08,140000,4,14.8,2,Default,nov,night
PC09,140000,4,13.7,2,Default,nov,night
PC09,140000,4,14.6,1,Default,nov,night
PC09,140000,4,13.1,1,Default,nov,night
PC09,140000,4,17.1,2,Default,nov,night
PC09,140000,4,20.18,2,Default,nov,night
PC09,140000,4,22.3,1,Default,nov,night
PC09,140000,4,22.6,1,Default,nov,night
PC09,140000,4,23.8,2,Default,nov,night
PC09,140000,4,34.4,3,Default,nov,night
PC09,140000,4,24.4,3,Default,nov,night
PC09,140000,4,18.1,1,Default,nov,night
PC09,140000,4,22.9,1,Default,nov,night
PC10,140000,4,4.9,6,Default,nov,night
PC10,140000,4,18.28,3,Default,nov,night
PC10,140000,4,7.7,2,Default,nov,night
PC10,140000,4,5.9,3,Default,nov,night
PC10,140000,4,7.8,3,Default,nov,night
PC10,140000,4,14.4,1,Default,nov,night
PC10,140000,4,10.3,1,Default,nov,night
PC10,140000,4,8.1,2,Default,nov,night
PC10,140000,4,10.9,2,Default,nov,night
PC10,140000,4,12.9,3,Default,nov,night
PC10,140000,4,12.8,6,Default,nov,night
PC10,140000,4,11.4,2,Default,nov,night
PC11,140000,4,5.8,3,Default,nov,night
PC11,140000,4,4.3,1,Default,nov,night
PC11,140000,4,5.4,4,Default,nov,night
PC11,140000,4,7,2,Default,nov,night
PC11,140000,4,17,2,Default,nov,night
PC11,140000,4,6.3,2,Default,nov,night
PC11,140000,4,12.8,1,Default,nov,night
PC11,140000,4,7.9,3,Default,nov,night
PC13,140000,4,10,3,Default,nov,night
PC13,140000,4,14,1,Default,nov,night
PC13,140000,4,18,5,Default,nov,night
PC13,140000,4,8,2,Default,nov,night
PC13,140000,4,11,3,Default,nov,night
PC13,140000,4,13,2,Default,nov,night
PC13,140000,4,10,2,Default,nov,night
PC13,140000,4,11,3,Default,nov,night
PC13,140000,4,19,9,Default,nov,night
PC13,140000,4,13,3,Default,nov,night
PC14,140000,4,10,5,Default,nov,night
PC14,140000,4,11,2,Default,nov,night
PC14,140000,4,6,1,Default,nov,night
PC14,140000,4,0,4,Default,nov,night
PC14,140000,4,7,6,Default,nov,night
PC14,140000,4,8,1,Default,nov,night
PC14,140000,4,3,3,Default,nov,night
PC14,140000,4,12,8,Default,nov,night
PC14,140000,4,17,5,Default,nov,night
PC14,140000,4,14,2,Default,nov,night
PC14,140000,4,10,6,Default,nov,night
PC14,140000,4,9,5,Default,nov,night
PC15,140000,4,0,5,Default,nov,night
PC15,140000,4,7,4,Default,nov,night
PC15,140000,4,20,3,Default,nov,night
PC15,140000,4,19,8,Default,nov,night
PC15,140000,4,20,2,Default,nov,night
PC16,140000,4,8,3,Default,nov,night
PC16,140000,4,15,12,Default,nov,night
PC16,140000,4,14,17,Default,nov,night
PC16,140000,4,20,6,Default,nov,night
PC16,140000,4,8,1,Default,nov,night
PC16,140000,4,0,5,Default,nov,night
PC16,140000,4,8,2,Default,nov,night
PC16,140000,4,15,1,Default,nov,night
