Sample.Label,Area,Effort,distance,size,Region.Label,month,OBs
PC15,140000,3,4.2,4,Default,aug,WEC
PC15,140000,3,22.4,1,Default,aug,WEC
PC15,140000,3,22.5,2,Default,aug,WEC
PC15,140000,3,16.2,1,Default,aug,WEC
PC15,140000,3,20.8,1,Default,aug,WEC
PC15,140000,3,35.4,2,Default,aug,WEC
PC15,140000,3,35.4,1,Default,aug,WEC
PC15,140000,3,35.4,4,Default,aug,WEC
PC15,140000,3,26.8,1,Default,aug,WEC
PC15,140000,3,26.8,1,Default,aug,WEC
PC15,140000,3,26.16,1,Default,aug,WEC
PC15,140000,3,26.16,1,Default,aug,WEC
PC15,140000,3,26.9,2,Default,aug,WEC
PC15,140000,3,26.6,1,Default,aug,WEC
PC15,140000,3,23.1,3,Default,aug,WEC
PC15,140000,3,47.8,3,Default,aug,WEC
PC15,140000,3,41.4,2,Default,aug,WEC
PC15,140000,3,40.4,1,Default,aug,WEC
PC15,140000,3,43,1,Default,aug,WEC
PC15,140000,3,53,2,Default,aug,WEC
PC15,140000,3,52.2,1,Default,aug,WEC
PC15,140000,3,20.5,1,Default,aug,WEC
PC15,140000,3,23.4,2,Default,aug,WEC
PC15,140000,3,4.3,1,Default,aug,WEC
PC13,140000,3,6.4,1,Default,aug,WEC
PC13,140000,3,6.4,1,Default,aug,WEC
PC13,140000,3,2.64,1,Default,aug,WEC
PC13,140000,3,11.5,11,Default,aug,WEC
PC13,140000,3,14,1,Default,aug,WEC
PC13,140000,3,14.1,3,Default,aug,WEC
PC13,140000,3,11,1,Default,aug,WEC
PC13,140000,3,9.9,1,Default,aug,WEC
PC13,140000,3,9.2,2,Default,aug,WEC
PC13,140000,3,8.4,1,Default,aug,WEC
PC13,140000,3,11.8,1,Default,aug,WEC
PC13,140000,3,11.9,2,Default,aug,WEC
PC13,140000,3,23.1,1,Default,aug,WEC
PC13,140000,3,23.1,1,Default,aug,WEC
PC13,140000,3,26.4,1,Default,aug,WEC
PC13,140000,3,25,2,Default,aug,WEC
PC13,140000,3,22.4,2,Default,aug,WEC
PC13,140000,3,24.2,1,Default,aug,WEC
PC13,140000,3,24.2,1,Default,aug,WEC
PC13,140000,3,27.9,1,Default,aug,WEC
PC13,140000,3,24.6,4,Default,aug,WEC
PC13,140000,3,39.6,2,Default,aug,WEC
PC13,140000,3,22.9,2,Default,aug,WEC
PC13,140000,3,9,2,Default,aug,WEC
PC13,140000,3,12.9,1,Default,aug,WEC
PC12,140000,3,12.9,1,Default,aug,WEC
PC12,140000,3,10,1,Default,aug,WEC
PC12,140000,3,10.4,2,Default,aug,WEC
PC12,140000,3,9.8,2,Default,aug,WEC
PC12,140000,3,10.7,3,Default,aug,WEC
PC12,140000,3,12.97,1,Default,aug,WEC
PC12,140000,3,12.92,1,Default,aug,WEC
