Sample.Label,Area,Effort,distance,size,Region.Label,month,OBs
PC03,140000,3,13.4,2,Default,may,WEC
PC03,140000,3,22.6,1,Default,may,WEC
PC03,140000,3,61.8,3,Default,may,WEC
PC03,140000,3,63,2,Default,may,WEC
PC07,140000,3,9.6,2,Default,may,WEC
PC07,140000,3,16.5,2,Default,may,WEC
PC07,140000,3,8.1,1,Default,may,WEC
PC07,140000,3,12.4,1,Default,may,WEC
PC07,140000,3,23.9,2,Default,may,WEC
PC07,140000,3,25.4,2,Default,may,WEC
PC06,140000,3,6.4,5,Default,may,WEC
PC06,140000,3,9.6,4,Default,may,WEC
PC06,140000,3,20.7,16,Default,may,WEC
PC06,140000,3,36.5,2,Default,may,WEC
PC06,140000,3,31.6,2,Default,may,WEC
PC08,140000,3,24.2,7,Default,may,WEC
PC08,140000,3,26.3,1,Default,may,WEC
PC08,140000,3,12.4,2,Default,may,WEC
PC08,140000,3,10,1,Default,may,WEC
PC08,140000,3,5.2,1,Default,may,WEC
PC08,140000,3,12.7,2,Default,may,WEC
PC08,140000,3,9.5,1,Default,may,WEC
PC08,140000,3,10.4,1,Default,may,WEC
PC08,140000,3,24.2,2,Default,may,WEC
PC11,140000,3,5.8,9,Default,may,WEC
PC11,140000,3,15.5,8,Default,may,WEC
PC11,140000,3,6.4,5,Default,may,WEC
PC11,140000,3,0,1,Default,may,WEC
PC11,140000,3,0,1,Default,may,WEC
PC11,140000,3,21.9,3,Default,may,WEC
PC11,140000,3,8.7,1,Default,may,WEC
PC11,140000,3,5.8,2,Default,may,WEC
PC14,140000,3,5.6,14,Default,may,WEC
PC14,140000,3,6.8,1,Default,may,WEC
PC14,140000,3,4.7,1,Default,may,WEC
PC14,140000,3,4.1,1,Default,may,WEC
PC14,140000,3,3.5,2,Default,may,WEC
PC14,140000,3,11.6,5,Default,may,WEC
PC14,140000,3,8.5,6,Default,may,WEC
PC14,140000,3,11.7,3,Default,may,WEC
PC14,140000,3,27.2,1,Default,may,WEC
PC14,140000,3,0,1,Default,may,WEC
PC14,140000,3,4.8,1,Default,may,WEC
PC14,140000,3,0,1,Default,may,WEC
PC14,140000,3,8.1,2,Default,may,WEC
PC14,140000,3,5.2,2,Default,may,WEC
PC14,140000,3,9,8,Default,may,WEC
PC16,140000,3,10.5,6,Default,may,WEC
PC16,140000,3,10.3,4,Default,may,WEC
PC16,140000,3,12.3,1,Default,may,WEC
PC16,140000,3,5.5,2,Default,may,WEC
PC16,140000,3,18.5,1,Default,may,WEC
PC16,140000,3,6.6,1,Default,may,WEC
PC16,140000,3,14.3,1,Default,may,WEC
PC16,140000,3,5.8,1,Default,may,WEC
PC16,140000,3,7.6,1,Default,may,WEC
PC16,140000,3,13.9,1,Default,may,WEC
PC16,140000,3,9.2,7,Default,may,WEC
PC16,140000,3,18.2,6,Default,may,WEC
PC16,140000,3,5.6,2,Default,may,WEC
