Sample.Label,Area,Effort,distance,size,Region.Label,month,OBs
PC01,140000,2,2,1,Default,nov,TAC
PC01,140000,2,2.7,1,Default,nov,TAC
PC01,140000,2,2.2,1,Default,nov,TAC
PC01,140000,2,17.13,1,Default,nov,TAC
PC01,140000,2,14.8,1,Default,nov,TAC
PC03,140000,2,17.2,1,Default,nov,TAC
PC03,140000,2,18.8,1,Default,nov,TAC
PC03,140000,2,15.9,1,Default,nov,TAC
PC03,140000,2,12.2,1,Default,nov,TAC
PC03,140000,2,21,1,Default,nov,TAC
PC03,140000,2,10,1,Default,nov,TAC
PC05,140000,2,3.5,1,Default,nov,WEC
PC05,140000,2,2.3,1,Default,nov,WEC
PC05,140000,2,3.4,1,Default,nov,WEC
PC05,140000,2,5.4,1,Default,nov,WEC
PC05,140000,2,8.2,1,Default,nov,WEC
PC06,140000,2,11.6,18,Default,nov,WEC
PC06,140000,2,14.6,5,Default,nov,WEC
PC06,140000,2,9,14,Default,nov,WEC
PC06,140000,2,9.9,5,Default,nov,WEC
PC06,140000,2,15.5,1,Default,nov,WEC
PC06,140000,2,3.4,1,Default,nov,WEC
PC06,140000,2,8.3,1,Default,nov,WEC
PC06,140000,2,3.8,2,Default,nov,WEC
PC06,140000,2,10,1,Default,nov,WEC
PC08,140000,2,6.7,1,Default,nov,TAC
PC08,140000,2,6.1,1,Default,nov,TAC
PC08,140000,2,7.2,1,Default,nov,TAC
PC08,140000,2,6.8,1,Default,nov,TAC
PC08,140000,2,23.2,4,Default,nov,TAC
PC08,140000,2,14.8,2,Default,nov,TAC
PC09,140000,2,13.7,2,Default,nov,WEC
PC09,140000,2,14.6,1,Default,nov,WEC
PC09,140000,2,13.1,1,Default,nov,WEC
PC09,140000,2,17.1,2,Default,nov,WEC
PC09,140000,2,20.18,2,Default,nov,WEC
PC09,140000,2,22.3,1,Default,nov,WEC
PC09,140000,2,22.6,1,Default,nov,WEC
PC09,140000,2,23.8,2,Default,nov,WEC
PC09,140000,2,34.4,3,Default,nov,WEC
PC09,140000,2,24.4,3,Default,nov,WEC
PC09,140000,2,18.1,1,Default,nov,WEC
PC09,140000,2,22.9,1,Default,nov,WEC
PC10,140000,2,4.9,6,Default,nov,WEC
PC10,140000,2,18.28,3,Default,nov,WEC
PC10,140000,2,7.7,2,Default,nov,WEC
PC10,140000,2,5.9,3,Default,nov,WEC
PC10,140000,2,7.8,3,Default,nov,WEC
PC10,140000,2,14.4,1,Default,nov,WEC
PC10,140000,2,10.3,1,Default,nov,WEC
PC10,140000,2,8.1,2,Default,nov,WEC
PC10,140000,2,10.9,2,Default,nov,WEC
PC10,140000,2,12.9,3,Default,nov,WEC
PC10,140000,2,12.8,6,Default,nov,WEC
PC10,140000,2,11.4,2,Default,nov,WEC
PC11,140000,2,5.8,3,Default,nov,TAC
PC11,140000,2,4.3,1,Default,nov,TAC
PC11,140000,2,5.4,4,Default,nov,TAC
PC11,140000,2,7,2,Default,nov,TAC
PC11,140000,2,17,2,Default,nov,TAC
PC11,140000,2,6.3,2,Default,nov,TAC
PC11,140000,2,12.8,1,Default,nov,TAC
PC11,140000,2,7.9,3,Default,nov,TAC
PC13,140000,2,10,3,Default,nov,ACM
PC13,140000,2,14,1,Default,nov,ACM
PC13,140000,2,18,5,Default,nov,ACM
PC13,140000,2,8,2,Default,nov,ACM
PC13,140000,2,11,3,Default,nov,ACM
PC13,140000,2,13,2,Default,nov,ACM
PC13,140000,2,10,2,Default,nov,ACM
PC13,140000,2,11,3,Default,nov,ACM
PC13,140000,2,19,9,Default,nov,ACM
PC13,140000,2,13,3,Default,nov,ACM
PC14,140000,2,10,5,Default,nov,ACM
PC14,140000,2,11,2,Default,nov,ACM
PC14,140000,2,6,1,Default,nov,ACM
PC14,140000,2,0,4,Default,nov,ACM
PC14,140000,2,7,6,Default,nov,ACM
PC14,140000,2,8,1,Default,nov,ACM
PC14,140000,2,3,3,Default,nov,ACM
PC14,140000,2,12,8,Default,nov,ACM
PC14,140000,2,17,5,Default,nov,ACM
PC14,140000,2,14,2,Default,nov,ACM
PC14,140000,2,10,6,Default,nov,ACM
PC14,140000,2,9,5,Default,nov,ACM
PC15,140000,2,0,5,Default,nov,ACM
PC15,140000,2,7,4,Default,nov,ACM
PC15,140000,2,20,3,Default,nov,ACM
PC15,140000,2,19,8,Default,nov,ACM
PC15,140000,2,20,2,Default,nov,ACM
PC16,140000,2,8,3,Default,nov,ACM
PC16,140000,2,15,12,Default,nov,ACM
PC16,140000,2,14,17,Default,nov,ACM
PC16,140000,2,20,6,Default,nov,ACM
PC16,140000,2,8,1,Default,nov,ACM
PC16,140000,2,0,5,Default,nov,ACM
PC16,140000,2,8,2,Default,nov,ACM
PC16,140000,2,15,1,Default,nov,ACM
PC16,140000,2,10,1,Default,nov,ACM
PC16,140000,2,8,5,Default,nov,ACM
PC16,140000,2,7,4,Default,nov,ACM
PC16,140000,2,9,2,Default,nov,ACM
PC16,140000,2,8,4,Default,nov,ACM
PC16,140000,2,13,5,Default,nov,ACM
PC01,140000,2,1,1,Default,nov,WEC
PC01,140000,2,1.5,1,Default,nov,WEC
PC01,140000,2,3.1,1,Default,nov,WEC
PC01,140000,2,2,1,Default,nov,WEC
PC01,140000,2,0,1,Default,nov,WEC
PC01,140000,2,0,1,Default,nov,WEC
PC01,140000,2,0.5,1,Default,nov,WEC
PC01,140000,2,2.8,1,Default,nov,WEC
PC01,140000,2,3.1,1,Default,nov,WEC
PC03,140000,2,21.4,1,Default,nov,WEC
