Sample.Label,Area,Effort,distance,size,survey,Region.Label,Time
PC01,140000,4,0,2,1,1,day
PC01,140000,4,2.5,1,1,1,day
PC01,140000,4,3,1,1,1,day
PC01,140000,4,2.2,1,1,1,day
PC03,140000,4,13.2,1,1,1,day
PC05,140000,4,11.9,5,1,1,day
PC05,140000,4,20.7,2,1,1,day
PC05,140000,4,5.9,1,1,1,day
PC05,140000,4,24.3,3,1,1,day
PC05,140000,4,7.7,2,1,1,day
PC05,140000,4,10.5,1,1,1,day
PC05,140000,4,6.9,3,1,1,day
PC05,140000,4,3,2,1,1,day
PC05,140000,4,5.6,4,1,1,day
PC05,140000,4,20.5,2,1,1,day
PC06,140000,4,31.4,3,1,1,day
PC06,140000,4,30.5,2,1,1,day
PC06,140000,4,11,1,1,1,day
PC06,140000,4,7.6,2,1,1,day
PC06,140000,4,38.1,6,1,1,day
PC06,140000,4,12.1,6,1,1,day
PC08,140000,4,12.8,1,1,1,day
PC08,140000,4,5.2,1,1,1,day
PC08,140000,4,5.2,1,1,1,day
PC08,140000,4,6,2,1,1,day
PC08,140000,4,23.4,1,1,1,day
PC08,140000,4,24.2,3,1,1,day
PC08,140000,4,22.2,1,1,1,day
PC09,140000,4,11.9,2,1,1,day
PC09,140000,4,12,2,1,1,day
PC09,140000,4,31.6,1,1,1,day
PC09,140000,4,20.5,1,1,1,day
PC09,140000,4,31.5,1,1,1,day
PC09,140000,4,25,2,1,1,day
PC09,140000,4,23.3,2,1,1,day
PC09,140000,4,20.7,1,1,1,day
PC09,140000,4,8.4,1,1,1,day
PC09,140000,4,20.4,1,1,1,day
PC09,140000,4,19.3,2,1,1,day
PC10,140000,4,14.3,5,1,1,day
PC10,140000,4,5.5,4,1,1,day
PC10,140000,4,0,3,1,1,day
PC10,140000,4,2.2,2,1,1,day
PC10,140000,4,10.4,6,1,1,day
PC10,140000,4,6.2,6,1,1,day
PC10,140000,4,16.3,1,1,1,day
PC10,140000,4,10.8,1,1,1,day
PC10,140000,4,13.5,5,1,1,day
PC10,140000,4,7.1,4,1,1,day
PC10,140000,4,13.6,3,1,1,day
PC10,140000,4,24.7,1,1,1,day
PC10,140000,4,10.6,1,1,1,day
PC11,140000,4,4.7,2,1,1,day
PC11,140000,4,4.7,1,1,1,day
PC11,140000,4,5.5,1,1,1,day
PC11,140000,4,3.7,2,1,1,day
PC11,140000,4,4.7,2,1,1,day
PC11,140000,4,12.7,2,1,1,day
PC11,140000,4,13.6,1,1,1,day
PC11,140000,4,12.2,1,1,1,day
PC11,140000,4,4.8,1,1,1,day
PC11,140000,4,3.2,1,1,1,day
PC11,140000,4,8,2,1,1,day
PC11,140000,4,9.4,2,1,1,day
PC11,140000,4,12.8,1,1,1,day
PC11,140000,4,10,1,1,1,day
PC11,140000,4,5.2,1,1,1,day
PC11,140000,4,11,3,1,1,day
PC11,140000,4,7.2,1,1,1,day
PC13,140000,4,28.4,4,1,1,day
PC13,140000,4,7.6,1,1,1,day
PC13,140000,4,5.8,3,1,1,day
PC13,140000,4,5.9,1,1,1,day
PC13,140000,4,9.5,2,1,1,day
PC13,140000,4,25.8,2,1,1,day
PC13,140000,4,12.2,1,1,1,day
PC13,140000,4,14.2,4,1,1,day
PC14,140000,4,2.5,1,1,1,day
PC14,140000,4,2.5,1,1,1,day
PC14,140000,4,9.7,3,1,1,day
PC14,140000,4,19.8,8,1,1,day
PC14,140000,4,13.4,2,1,1,day
PC14,140000,4,8.2,4,1,1,day
PC14,140000,4,14.6,4,1,1,day
PC14,140000,4,11.8,3,1,1,day
PC14,140000,4,5.5,3,1,1,day
PC14,140000,4,13.2,5,1,1,day
PC15,140000,4,0,6,1,1,day
PC15,140000,4,34.8,1,1,1,day
PC15,140000,4,45.4,9,1,1,day
PC15,140000,4,18,5,1,1,day
PC15,140000,4,23,4,1,1,day
PC16,140000,4,2.7,2,1,1,day
PC16,140000,4,3.3,1,1,1,day
PC16,140000,4,4.3,1,1,1,day
PC16,140000,4,10.1,3,1,1,day
PC16,140000,4,9.4,3,1,1,day
PC16,140000,4,10.3,6,1,1,day
PC16,140000,4,13,1,1,1,day
PC16,140000,4,5,1,1,1,day
PC16,140000,4,4,1,1,1,day
PC16,140000,4,16.2,8,1,1,day
PC16,140000,4,19.1,1,1,1,day
PC16,140000,4,28.8,2,1,1,day
